"Applicant","Edu_Parent1","Edu_Parent2","Gender","White","Asian","HSGPA","SAT/ACT","College","College_GPA"
7,6,6,"F",1,0,4.26,1430,"Math & Science",3.956
29,7,6,"M",1,0,3.95,1340,"Math & Science",3.361
47,3,6,"M",1,0,4.33,1200,"Business & Economics",3.433
62,7,7,"F",1,0,4.27,1530,"Business & Economics",3.89
66,6,7,"F",0,0,4.04,1270,"Math & Science",3.025
71,7,7,"F",1,0,3.56,1280,"Arts & Letters",2.564
73,7,6,"M",1,0,4.15,1390,"Math & Science",3.825
78,4,4,"M",0,0,4,1330,"Business & Economics",3.525
80,7,6,"F",1,0,4.09,1150,"Math & Science",3.595
86,7,7,"F",0,0,3.36,1130,"Arts & Letters",3.058
95,7,6,"M",0,0,3.75,1240,"Business & Economics",3.344
103,6,7,"F",1,0,3.82,1270,"Math & Science",3.106
112,6,6,"M",1,0,4.32,1500,"Math & Science",3.426
115,7,7,"F",0,0,4.2,1230,"Arts & Letters",3.116
117,7,6,"F",1,0,3.92,1320,"Math & Science",3.396
119,6,6,"F",1,0,3.83,1240,"Arts & Letters",3.926
125,7,7,"M",1,0,3.95,1300,"Arts & Letters",3.277
131,7,4,"F",0,0,3.89,1250,"Math & Science",3.357
136,6,7,"F",0,0,3.87,1170,"Arts & Letters",2.733
141,7,6,"M",1,0,3.82,1440,"Math & Science",1.847
148,7,7,"M",1,0,3.96,1120,"Math & Science",3.471
149,7,7,"F",1,0,4.21,1360,"Math & Science",3.123
166,7,7,"F",1,0,3.59,950,"Arts & Letters",2.255
170,6,7,"M",1,0,4,1340,"Math & Science",3.372
171,6,6,"F",1,0,3.4,1000,"Business & Economics",2.919
172,7,6,"F",1,0,4.27,1140,"Arts & Letters",3.386
175,7,7,"F",1,0,4,1210,"Business & Economics",3.079
178,6,6,"M",0,1,4,1250,"Arts & Letters",3.296
179,3,3,"F",0,0,3.61,1050,"Business & Economics",2.88
217,4,3,"M",0,0,4.33,1320,"Math & Science",3.935
222,6,6,"M",1,0,3.74,1260,"Business & Economics",2.81
224,5,3,"M",0,0,4.25,1310,"Math & Science",2.498
233,7,7,"M",1,0,4.04,1140,"Business & Economics",2.932
238,7,6,"F",1,0,3.8,1210,"Arts & Letters",3.128
239,4,6,"F",1,0,4.2,1140,"Business & Economics",3.641
240,4,4,"F",1,0,3.95,1340,"Arts & Letters",3.58
245,6,6,"F",1,0,3.72,1210,"Math & Science",2.287
250,7,4,"F",0,0,3.58,1200,"Arts & Letters",3.08
252,6,6,"M",0,1,3.45,1320,"Math & Science",2.27
258,7,6,"F",1,0,4.17,1360,"Business & Economics",2.986
261,6,7,"F",1,0,3.7,1150,"Arts & Letters",2.947
262,6,6,"F",1,0,4.05,1230,"Math & Science",3.602
263,6,6,"F",1,0,4,1210,"Arts & Letters",3.176
265,7,6,"F",1,0,4.33,1430,"Business & Economics",3.472
266,6,6,"F",1,0,3.04,1170,"Math & Science",2.88
276,7,6,"F",1,0,3.86,1330,"Business & Economics",3.599
277,3,5,"M",0,1,3.77,1170,"Business & Economics",2.671
282,6,6,"F",1,0,3.88,1310,"Business & Economics",3.468
285,7,7,"F",0,0,3.96,1240,"Arts & Letters",2.988
287,6,6,"M",0,1,3.55,1230,"Business & Economics",2.859
288,7,7,"M",0,0,3.32,1230,"Business & Economics",2.58
293,3,6,"F",0,1,3.75,1370,"Arts & Letters",3.467
302,7,7,"F",1,0,4.25,1300,"Business & Economics",3.71
310,6,6,"F",1,0,4.18,1290,"Business & Economics",3.039
327,5,6,"M",1,0,4.25,1350,"Math & Science",3.159
347,1,1,"M",0,0,3.73,1160,"Math & Science",3.133
350,6,6,"M",1,0,3.86,1250,"Arts & Letters",3.503
357,2,2,"F",0,1,3.68,1030,"Math & Science",2.479
361,6,6,"F",1,0,3.92,1160,"Arts & Letters",2.997
367,3,3,"F",0,0,3.54,1020,"Arts & Letters",3.395
372,7,6,"M",1,0,3.94,1260,"Business & Economics",3.1
373,5,4,"F",0,0,3.85,1170,"Arts & Letters",3.397
376,6,6,"F",1,0,3.9,1300,"Math & Science",3.205
380,6,3,"M",1,0,3.8,1320,"Math & Science",3.09
382,4,5,"F",1,0,3.84,1390,"Arts & Letters",3.338
393,3,5,"F",0,0,3.91,1230,"Math & Science",2.918
407,7,7,"F",1,0,4.25,1400,"Math & Science",3.639
408,3,3,"F",1,0,3.64,1290,"Math & Science",3.431
422,7,6,"F",0,0,3.95,1230,"Business & Economics",3.465
427,6,6,"F",0,1,3.95,1170,"Business & Economics",2.496
428,3,3,"F",1,0,4.11,1280,"Business & Economics",3.5
429,6,4,"M",1,0,4.23,1260,"Arts & Letters",3.351
430,7,6,"F",1,0,4.05,1320,"Arts & Letters",3.131
432,4,6,"F",1,0,4.09,1130,"Arts & Letters",3.699
435,6,7,"M",1,0,4.2,1430,"Math & Science",3.631
440,7,7,"F",1,0,4.27,1260,"Arts & Letters",4
442,7,6,"M",1,0,3.25,1120,"Math & Science",2.83
448,7,6,"F",0,0,3.9,1290,"Math & Science",2.953
450,6,4,"F",1,0,3.78,1260,"Math & Science",3.678
454,7,7,"F",1,0,4.05,1310,"Arts & Letters",3.878
457,3,6,"F",1,0,3.88,1140,"Arts & Letters",3.374
462,7,7,"M",1,0,3.32,1220,"Math & Science",2.992
463,4,7,"M",0,1,3.67,1190,"Arts & Letters",3.288
490,3,6,"F",1,0,3.59,1180,"Arts & Letters",2.854
492,3,7,"F",1,0,3.86,1110,"Math & Science",0.757
495,4,6,"F",1,0,4.33,1540,"Math & Science",3.245
496,4,6,"M",1,0,4.3,1280,"Math & Science",3.182
501,4,4,"M",1,0,4,1260,"Math & Science",2.926
504,6,6,"F",1,0,3.75,1190,"Business & Economics",2.691
508,6,1,"M",0,0,3.71,930,"Business & Economics",3.024
